segment_id,text,start,duration,vid
1,and you that they deserve to be Prime,0,5.1,sbE-emYnHJk
2,Minister tonight Boris Johnson leader of,2.22,5.34,sbE-emYnHJk
3,the Conservative Party and Jeremy Corbyn,5.1,4.35,sbE-emYnHJk
4,leader of the Labour Party go,7.56,3.99,sbE-emYnHJk
5,head-to-head in the BBC prime,9.45,4.04,sbE-emYnHJk
6,ministerial debate,11.55,27.839,sbE-emYnHJk
7,[Music],13.49,25.899,sbE-emYnHJk
8,good evening and welcome to Maidstone,40.76,4.78,sbE-emYnHJk
9,studios in Kent,43.8,4.56,sbE-emYnHJk
10,have you made up your mind yet wherever,45.54,5.46,sbE-emYnHJk
11,you live whoever you vote for one of,48.36,5.55,sbE-emYnHJk
12,these two men will be Prime Minister in,51,5.16,sbE-emYnHJk
13,a week's time tonight for the next hour,53.91,4.35,sbE-emYnHJk
14,Boris Johnson and Jeremy Corbyn will,56.16,11.25,sbE-emYnHJk
15,debate the future of our country now,58.26,11.52,sbE-emYnHJk
16,neither mr. Johnson nor mr. Corbyn know,67.41,3.93,sbE-emYnHJk
17,the questions that they're going to face,69.78,3.78,sbE-emYnHJk
18,they'll be posed by members of our,71.34,3.87,sbE-emYnHJk
19,audience here they've been chosen by the,73.56,4.47,sbE-emYnHJk
20,pollsters serve answer comrades who,75.21,4.65,sbE-emYnHJk
21,invited people who support both of their,78.03,4.17,sbE-emYnHJk
22,parties and others who've yet to decide,79.86,4.56,sbE-emYnHJk
23,how to work vote people are all,82.2,5.1,sbE-emYnHJk
24,backgrounds people from all walks of,84.42,5.49,sbE-emYnHJk
25,life they to ask their questions to,87.3,4.8,sbE-emYnHJk
26,listen to the answers to listen to the,89.91,5.4,sbE-emYnHJk
27,bait not to cheer on a team let alone to,92.1,5.64,sbE-emYnHJk
28,boo their opponents my job then is to,95.31,3.69,sbE-emYnHJk
29,try and make sure that their questions,97.74,3.78,sbE-emYnHJk
30,do get answered and that this debate is,99,6.15,sbE-emYnHJk
31,as free and as fair as possible so,101.52,5.76,sbE-emYnHJk
32,apologies gentlemen if I have to,105.15,4.59,sbE-emYnHJk
33,interrupt you occasionally just to make,107.28,4.53,sbE-emYnHJk
34,sure this debate is fair and to make,109.74,4.14,sbE-emYnHJk
35,sure that we do make progress through,111.81,3.75,sbE-emYnHJk
36,all the questions we want to get through,113.88,3.39,sbE-emYnHJk
37,now both leaders are going to make,115.56,3.63,sbE-emYnHJk
38,opening and closing statements,117.27,4.02,sbE-emYnHJk
39,the order was decided by the toss of a,119.19,4.5,sbE-emYnHJk
40,coin Jeremy Corbyn won the toss and,121.29,5.04,sbE-emYnHJk
41,elected to go first Jeremy Corbyn would,123.69,3.84,sbE-emYnHJk
42,you give us your opening statement,126.33,2.25,sbE-emYnHJk
43,please thank you,127.53,3.769,sbE-emYnHJk
44,labour is ambitious for our country and,128.58,5.49,sbE-emYnHJk
45,ambitious for you I want to build a,131.299,5.081,sbE-emYnHJk
46,society where there is real opportunity,134.07,4.77,sbE-emYnHJk
47,for all where everyone feels supported,136.38,4.5,sbE-emYnHJk
48,and secured and where everybody has,138.84,5.67,sbE-emYnHJk
49,dignity in old age there are now 4,140.88,5.31,sbE-emYnHJk
50,million children living in poverty in,144.51,3.66,sbE-emYnHJk
51,our country people can't get,146.19,4.38,sbE-emYnHJk
52,appointments to see their GP elderly,148.17,4.47,sbE-emYnHJk
53,people can't get the care they need and,150.57,4.11,sbE-emYnHJk
54,millions of families are struggling to,152.64,4.8,sbE-emYnHJk
55,pay bills and make ends meet they need,154.68,4.8,sbE-emYnHJk
56,an ambitious government on their side,157.44,3.96,sbE-emYnHJk
57,that will put money in their pockets,159.48,5.19,sbE-emYnHJk
58,save our NHS rebuild our public services,161.4,5.52,sbE-emYnHJk
59,deliver free personal care for older,164.67,4.77,sbE-emYnHJk
60,people and free education for all yes,166.92,3.84,sbE-emYnHJk
61,that does mean our,169.44,2.64,sbE-emYnHJk
62,scheme those with the broadest shoulders,170.76,4.08,sbE-emYnHJk
63,to pay a bit more in tax a vote for,172.08,5.549,sbE-emYnHJk
64,labor is a vote for hope for real change,174.84,5.22,sbE-emYnHJk
65,and for a country that works for the,177.629,5.431,sbE-emYnHJk
66,many not just the few mr. gorban Thank,180.06,4.379,sbE-emYnHJk
67,You mr. Johnson would you like to make,183.06,2.58,sbE-emYnHJk
68,your opening statement please,184.439,4.231,sbE-emYnHJk
69,on Thursday next week this country,185.64,5.519,sbE-emYnHJk
70,reaches a turning point we can get,188.67,5.64,sbE-emYnHJk
71,brexit done we can end the paralysis we,191.159,5.401,sbE-emYnHJk
72,can transform our country with massive,194.31,4.649,sbE-emYnHJk
73,"investments in health 50,000 more nurses",196.56,5.399,sbE-emYnHJk
74,"more funding for every school 20,000",198.959,5.011,sbE-emYnHJk
75,more police we can spread opportunity,201.959,4.62,sbE-emYnHJk
76,fairly with fantastic infrastructure,203.97,5.669,sbE-emYnHJk
77,education and technology and the only,206.579,5.371,sbE-emYnHJk
78,way to unleash the potential of this,209.639,4.831,sbE-emYnHJk
79,whole country is if we get a working,211.95,5.399,sbE-emYnHJk
80,majority Conservative government because,214.47,5.79,sbE-emYnHJk
81,the only possible alternative is another,217.349,5.341,sbE-emYnHJk
82,hung parliament with Jeremy Corbyn and,220.26,4.259,sbE-emYnHJk
83,Nicola Sturgeon with an economic agenda,222.69,3.81,sbE-emYnHJk
84,that would take this country back,224.519,4.83,sbE-emYnHJk
85,decades and two referendums one on,226.5,5.4,sbE-emYnHJk
86,Scotland and a second toxic and divisive,229.349,5.101,sbE-emYnHJk
87,referendum on the EU let's give that,231.9,4.5,sbE-emYnHJk
88,nightmare and this let's end the chaos,234.45,4.8,sbE-emYnHJk
89,the deadlock let's get brexit done with,236.4,4.769,sbE-emYnHJk
90,a one nation Conservative government and,239.25,5.459,sbE-emYnHJk
91,take this country forwards Boris Johnson,241.169,4.831,sbE-emYnHJk
92,thank you very much India well let's get,244.709,3.691,sbE-emYnHJk
93,on with our questions now almost no,246,4.379,sbE-emYnHJk
94,rules tonight questions will be posed by,248.4,3.78,sbE-emYnHJk
95,the audience both men will get the,250.379,4.29,sbE-emYnHJk
96,chance to answer them and to debate,252.18,4.799,sbE-emYnHJk
97,their answers as well our first question,254.669,5.1,sbE-emYnHJk
98,tonight comes from John Purcell John,256.979,7.5,sbE-emYnHJk
99,Purcell please is Sir John Major's,259.769,8.821,sbE-emYnHJk
100,recent intervention worrying to you mr.,264.479,7.651,sbE-emYnHJk
