segment_id,text,start,duration,vid
1,first I change the build shadow a lead a,0.03,4.59,8cQMzVjHBeI
2,special of question time you can go,2.61,4.32,8cQMzVjHBeI
3,online to BBC News to follow all the,4.62,4.17,8cQMzVjHBeI
4,analysis with the BBC's reality check,6.93,4.91,8cQMzVjHBeI
5,from the comfort of your own couch,8.79,6.349,8cQMzVjHBeI
6,[Music],11.84,6.46,8cQMzVjHBeI
7,tonight we're in Sheffield welcome to a,15.139,6.081,8cQMzVjHBeI
8,question time election leaders special,18.3,10.64,8cQMzVjHBeI
9,[Music],21.22,7.72,8cQMzVjHBeI
10,for the first time all four leaders of,29.289,4.54,8cQMzVjHBeI
11,the UK's main political parties will,32.27,3.42,8cQMzVjHBeI
12,answer questions one after the other,33.829,5.491,8cQMzVjHBeI
13,from a question time audience this one,35.69,5.85,8cQMzVjHBeI
14,right here everyone gets the same amount,39.32,4.919,8cQMzVjHBeI
15,of time just under half an hour respond,41.54,4.35,8cQMzVjHBeI
16,to what our audience wants to ask about,44.239,2.701,8cQMzVjHBeI
17,their policies,45.89,2.64,8cQMzVjHBeI
18,we'll begin with the Labour leader,46.94,4.38,8cQMzVjHBeI
19,Jeremy Corbyn then at 7:30 the First,48.53,4.44,8cQMzVjHBeI
20,Minister of Scotland and leader of the,51.32,3.47,8cQMzVjHBeI
21,Scottish National Party Nicola Sturgeon,52.97,4.29,8cQMzVjHBeI
22,followed by the leader of the Liberal,54.79,4.39,8cQMzVjHBeI
23,Democrats Joe Swenson at 8 o'clock and,57.26,4.77,8cQMzVjHBeI
24,finally at 8:30 the Conservative leader,59.18,5.309,8cQMzVjHBeI
25,and prime minister Boris Johnson and,62.03,4.199,8cQMzVjHBeI
26,remember as always you can join in on,64.489,4.441,8cQMzVjHBeI
27,Twitter on Facebook on Instagram in the,66.229,5.941,8cQMzVjHBeI
28,usual way so let's get started,68.93,4.71,8cQMzVjHBeI
29,without further ado will you please join,72.17,3.21,8cQMzVjHBeI
30,me in welcoming the leader of the Labour,73.64,5.42,8cQMzVjHBeI
31,Party Jeremy Corbyn,75.38,3.68,8cQMzVjHBeI
